matchday,date,season,apoints,awin,AwayTeam,HomeTeam,FTHG,FTAG,covid19,HAdyad
1,2009-08-07,0910,0,0,Stuttgart,Wolfsburg,2,0,0,WolfsburgStuttgart
1,2009-08-08,0910,0,0,FC Koln,Dortmund,1,0,0,DortmundFC Koln
1,2009-08-08,0910,0,0,Hannover,Hertha,1,0,0,HerthaHannover
1,2009-08-08,0910,1,0,Bayern Munich,Hoffenheim,1,1,0,HoffenheimBayern Munich
1,2009-08-08,0910,1,0,Leverkusen,Mainz,2,2,0,MainzLeverkusen
1,2009-08-08,0910,3,1,Schalke 04,Nurnberg,1,2,0,NurnbergSchalke 04
1,2009-08-08,0910,3,1,Ein Frankfurt,Werder Bremen,2,3,0,Werder BremenEin Frankfurt
1,2009-08-09,0910,1,0,M'gladbach,Bochum,3,3,0,BochumM'gladbach
1,2009-08-09,0910,1,0,Hamburg,Freiburg,1,1,0,FreiburgHamburg
2,2009-08-15,0910,1,0,Werder Bremen,Bayern Munich,1,1,0,Bayern MunichWerder Bremen
2,2009-08-15,0910,1,0,Nurnberg,Ein Frankfurt,1,1,0,Ein FrankfurtNurnberg
2,2009-08-15,0910,3,1,Wolfsburg,FC Koln,1,3,0,FC KolnWolfsburg
2,2009-08-15,0910,0,0,Dortmund,Hamburg,4,1,0,HamburgDortmund
2,2009-08-15,0910,1,0,Mainz,Hannover,1,1,0,HannoverMainz
2,2009-08-15,0910,0,0,Hoffenheim,Leverkusen,1,0,0,LeverkusenHoffenheim
2,2009-08-15,0910,0,0,Freiburg,Stuttgart,4,2,0,StuttgartFreiburg
2,2009-08-16,0910,0,0,Hertha,M'gladbach,2,1,0,M'gladbachHertha
2,2009-08-16,0910,0,0,Bochum,Schalke 04,3,0,0,Schalke 04Bochum
3,2009-08-21,0910,1,0,Schalke 04,Hoffenheim,0,0,0,HoffenheimSchalke 04
3,2009-08-22,0910,1,0,Stuttgart,Dortmund,1,1,0,DortmundStuttgart
3,2009-08-22,0910,1,0,Ein Frankfurt,FC Koln,0,0,0,FC KolnEin Frankfurt
3,2009-08-22,0910,3,1,Leverkusen,Freiburg,0,5,0,FreiburgLeverkusen
3,2009-08-22,0910,0,0,Bayern Munich,Mainz,2,1,0,MainzBayern Munich
3,2009-08-22,0910,3,1,Hannover,Nurnberg,0,2,0,NurnbergHannover
3,2009-08-23,0910,0,0,Hertha,Bochum,1,0,0,BochumHertha
3,2009-08-23,0910,0,0,M'gladbach,Werder Bremen,3,0,0,Werder BremenM'gladbach
3,2009-08-23,0910,3,1,Hamburg,Wolfsburg,2,4,0,WolfsburgHamburg
4,2009-08-28,0910,0,0,Mainz,M'gladbach,2,0,0,M'gladbachMainz
4,2009-08-29,0910,0,0,Wolfsburg,Bayern Munich,3,0,0,Bayern MunichWolfsburg
4,2009-08-29,0910,1,0,Dortmund,Ein Frankfurt,1,1,0,Ein FrankfurtDortmund
4,2009-08-29,0910,3,1,Hoffenheim,Hannover,0,1,0,HannoverHoffenheim
4,2009-08-29,0910,0,0,Bochum,Leverkusen,2,1,0,LeverkusenBochum
4,2009-08-29,0910,3,1,Freiburg,Schalke 04,0,1,0,Schalke 04Freiburg
4,2009-08-29,0910,1,0,Nurnberg,Stuttgart,0,0,0,StuttgartNurnberg
4,2009-08-30,0910,0,0,FC Koln,Hamburg,3,1,0,HamburgFC Koln
4,2009-08-30,0910,3,1,Werder Bremen,Hertha,2,3,0,HerthaWerder Bremen
5,2009-09-12,0910,3,1,Bayern Munich,Dortmund,1,5,0,DortmundBayern Munich
5,2009-09-12,0910,3,1,Ein Frankfurt,Freiburg,0,2,0,FreiburgEin Frankfurt
5,2009-09-12,0910,0,0,Stuttgart,Hamburg,3,1,0,HamburgStuttgart
5,2009-09-12,0910,0,0,Bochum,Hoffenheim,3,0,0,HoffenheimBochum
5,2009-09-12,0910,0,0,Hertha,Mainz,2,1,0,MainzHertha
5,2009-09-12,0910,0,0,M'gladbach,Nurnberg,1,0,0,NurnbergM'gladbach
5,2009-09-12,0910,3,1,Leverkusen,Wolfsburg,2,3,0,WolfsburgLeverkusen
5,2009-09-13,0910,3,1,Schalke 04,FC Koln,1,2,0,FC KolnSchalke 04
5,2009-09-13,0910,1,0,Hannover,Werder Bremen,0,0,0,Werder BremenHannover
6,2009-09-18,0910,3,1,Wolfsburg,Schalke 04,1,2,0,Schalke 04Wolfsburg
6,2009-09-19,0910,0,0,Nurnberg,Bayern Munich,2,1,0,Bayern MunichNurnberg
6,2009-09-19,0910,3,1,Mainz,Bochum,2,3,0,BochumMainz
6,2009-09-19,0910,1,0,Dortmund,Hannover,1,1,0,HannoverDortmund
6,2009-09-19,0910,3,1,Hoffenheim,M'gladbach,2,4,0,M'gladbachHoffenheim
6,2009-09-19,0910,3,1,FC Koln,Stuttgart,0,2,0,StuttgartFC Koln
6,2009-09-20,0910,1,0,Hamburg,Ein Frankfurt,1,1,0,Ein FrankfurtHamburg
6,2009-09-20,0910,3,1,Freiburg,Hertha,0,4,0,HerthaFreiburg
6,2009-09-20,0910,1,0,Werder Bremen,Leverkusen,0,0,0,LeverkusenWerder Bremen
7,2009-09-25,0910,3,1,Bochum,Nurnberg,0,1,0,NurnbergBochum
7,2009-09-26,0910,3,1,Schalke 04,Dortmund,0,1,0,DortmundSchalke 04
7,2009-09-26,0910,3,1,Stuttgart,Ein Frankfurt,0,3,0,Ein FrankfurtStuttgart
7,2009-09-26,0910,3,1,Leverkusen,FC Koln,0,1,0,FC KolnLeverkusen
7,2009-09-26,0910,0,0,Bayern Munich,Hamburg,1,0,0,HamburgBayern Munich
7,2009-09-26,0910,0,0,Mainz,Werder Bremen,3,0,0,Werder BremenMainz
7,2009-09-26,0910,0,0,Hannover,Wolfsburg,4,2,0,WolfsburgHannover
7,2009-09-27,0910,0,0,M'gladbach,Freiburg,3,0,0,FreiburgM'gladbach
7,2009-09-27,0910,0,0,Hertha,Hoffenheim,5,1,0,HoffenheimHertha
8,2009-10-02,0910,0,0,Ein Frankfurt,Schalke 04,2,0,0,Schalke 04Ein Frankfurt
8,2009-10-03,0910,1,0,FC Koln,Bayern Munich,0,0,0,Bayern MunichFC Koln
8,2009-10-03,0910,1,0,Wolfsburg,Bochum,1,1,0,BochumWolfsburg
8,2009-10-03,0910,0,0,Freiburg,Hannover,5,2,0,HannoverFreiburg
8,2009-10-03,0910,0,0,Nurnberg,Leverkusen,4,0,0,LeverkusenNurnberg
8,2009-10-03,0910,3,1,Dortmund,M'gladbach,0,1,0,M'gladbachDortmund
8,2009-10-03,0910,0,0,Hoffenheim,Mainz,2,1,0,MainzHoffenheim
8,2009-10-04,0910,3,1,Hamburg,Hertha,1,3,0,HerthaHamburg
8,2009-10-04,0910,3,1,Werder Bremen,Stuttgart,0,2,0,StuttgartWerder Bremen
9,2009-10-17,0910,0,0,Hannover,Ein Frankfurt,2,1,0,Ein FrankfurtHannover
9,2009-10-17,0910,0,0,Mainz,FC Koln,1,0,0,FC KolnMainz
9,2009-10-17,0910,3,1,Bayern Munich,Freiburg,1,2,0,FreiburgBayern Munich
9,2009-10-17,0910,1,0,Leverkusen,Hamburg,0,0,0,HamburgLeverkusen
9,2009-10-17,0910,0,0,Hertha,Nurnberg,3,0,0,NurnbergHertha
9,2009-10-17,0910,3,1,Schalke 04,Stuttgart,1,2,0,StuttgartSchalke 04
9,2009-10-17,0910,0,0,Hoffenheim,Werder Bremen,2,0,0,Werder BremenHoffenheim
9,2009-10-18,0910,0,0,Bochum,Dortmund,2,0,0,DortmundBochum
9,2009-10-18,0910,0,0,M'gladbach,Wolfsburg,2,1,0,WolfsburgM'gladbach
10,2009-10-23,0910,1,0,Dortmund,Leverkusen,1,1,0,LeverkusenDortmund
10,2009-10-24,0910,0,0,Ein Frankfurt,Bayern Munich,2,1,0,Bayern MunichEin Frankfurt
10,2009-10-24,0910,0,0,Stuttgart,Hannover,1,0,0,HannoverStuttgart
10,2009-10-24,0910,0,0,Nurnberg,Hoffenheim,3,0,0,HoffenheimNurnberg
10,2009-10-24,0910,1,0,FC Koln,M'gladbach,0,0,0,M'gladbachFC Koln
10,2009-10-24,0910,0,0,Freiburg,Mainz,3,0,0,MainzFreiburg
10,2009-10-25,0910,3,1,Werder Bremen,Bochum,1,4,0,BochumWerder Bremen
10,2009-10-25,0910,1,0,Wolfsburg,Hertha,0,0,0,HerthaWolfsburg
10,2009-10-25,0910,1,0,Hamburg,Schalke 04,3,3,0,Schalke 04Hamburg
11,2009-10-30,0910,0,0,Hertha,Dortmund,2,0,0,DortmundHertha
11,2009-10-31,0910,3,1,Hannover,FC Koln,0,1,0,FC KolnHannover
11,2009-10-31,0910,3,1,M'gladbach,Hamburg,2,3,0,HamburgM'gladbach
11,2009-10-31,0910,1,0,Werder Bremen,Nurnberg,2,2,0,NurnbergWerder Bremen
11,2009-10-31,0910,1,0,Leverkusen,Schalke 04,2,2,0,Schalke 04Leverkusen
11,2009-10-31,0910,1,0,Bayern Munich,Stuttgart,0,0,0,StuttgartBayern Munich
11,2009-10-31,0910,1,0,Mainz,Wolfsburg,3,3,0,WolfsburgMainz
11,2009-11-01,0910,0,0,Bochum,Ein Frankfurt,2,1,0,Ein FrankfurtBochum
11,2009-11-01,0910,3,1,Hoffenheim,Freiburg,0,1,0,FreiburgHoffenheim
12,2009-11-06,0910,0,0,Ein Frankfurt,Leverkusen,4,0,0,LeverkusenEin Frankfurt
12,2009-11-07,0910,1,0,Schalke 04,Bayern Munich,1,1,0,Bayern MunichSchalke 04
12,2009-11-07,0910,3,1,Freiburg,Bochum,1,2,0,BochumFreiburg
12,2009-11-07,0910,3,1,Wolfsburg,Hoffenheim,1,2,0,HoffenheimWolfsburg
12,2009-11-07,0910,1,0,Stuttgart,M'gladbach,0,0,0,M'gladbachStuttgart
12,2009-11-07,0910,0,0,Nurnberg,Mainz,1,0,0,MainzNurnberg
12,2009-11-08,0910,1,0,Hamburg,Hannover,2,2,0,HannoverHamburg
12,2009-11-08,0910,3,1,FC Koln,Hertha,0,1,0,HerthaFC Koln
12,2009-11-08,0910,1,0,Dortmund,Werder Bremen,1,1,0,Werder BremenDortmund
13,2009-11-21,0910,1,0,Mainz,Dortmund,0,0,0,DortmundMainz
13,2009-11-21,0910,3,1,M'gladbach,Ein Frankfurt,1,2,0,Ein FrankfurtM'gladbach
13,2009-11-21,0910,3,1,Hoffenheim,FC Koln,0,4,0,FC KolnHoffenheim
13,2009-11-21,0910,3,1,Werder Bremen,Freiburg,0,6,0,FreiburgWerder Bremen
13,2009-11-21,0910,0,0,Hannover,Schalke 04,2,0,0,Schalke 04Hannover
13,2009-11-21,0910,1,0,Hertha,Stuttgart,1,1,0,StuttgartHertha
13,2009-11-21,0910,3,1,Nurnberg,Wolfsburg,2,3,0,WolfsburgNurnberg
13,2009-11-22,0910,1,0,Leverkusen,Bayern Munich,1,1,0,Bayern MunichLeverkusen
13,2009-11-22,0910,3,1,Bochum,Hamburg,0,1,0,HamburgBochum
14,2009-11-27,0910,1,0,FC Koln,Bochum,0,0,0,BochumFC Koln
14,2009-11-28,0910,3,1,Ein Frankfurt,Hertha,1,3,0,HerthaEin Frankfurt
14,2009-11-28,0910,3,1,Dortmund,Hoffenheim,1,2,0,HoffenheimDortmund
14,2009-11-28,0910,0,0,Schalke 04,M'gladbach,1,0,0,M'gladbachSchalke 04
14,2009-11-28,0910,1,0,Hamburg,Mainz,1,1,0,MainzHamburg
14,2009-11-28,0910,3,1,Freiburg,Nurnberg,0,1,0,NurnbergFreiburg
14,2009-11-28,0910,1,0,Wolfsburg,Werder Bremen,2,2,0,Werder BremenWolfsburg
14,2009-11-29,0910,3,1,Bayern Munich,Hannover,0,3,0,HannoverBayern Munich
14,2009-11-29,0910,0,0,Stuttgart,Leverkusen,4,0,0,LeverkusenStuttgart
15,2009-12-04,0910,0,0,M'gladbach,Bayern Munich,2,1,0,Bayern MunichM'gladbach
15,2009-12-05,0910,0,0,Nurnberg,Dortmund,4,0,0,DortmundNurnberg
15,2009-12-05,0910,0,0,Mainz,Ein Frankfurt,2,0,0,Ein FrankfurtMainz
15,2009-12-05,0910,1,0,Hoffenheim,Hamburg,0,0,0,HamburgHoffenheim
15,2009-12-05,0910,1,0,Leverkusen,Hannover,0,0,0,HannoverLeverkusen
15,2009-12-05,0910,1,0,Bochum,Stuttgart,1,1,0,StuttgartBochum
15,2009-12-05,0910,1,0,Freiburg,Wolfsburg,2,2,0,WolfsburgFreiburg
15,2009-12-06,0910,1,0,Werder Bremen,FC Koln,0,0,0,FC KolnWerder Bremen
15,2009-12-06,0910,0,0,Hertha,Schalke 04,2,0,0,Schalke 04Hertha
16,2009-12-11,0910,1,0,Leverkusen,Hertha,2,2,0,HerthaLeverkusen
16,2009-12-12,0910,3,1,Bayern Munich,Bochum,1,5,0,BochumBayern Munich
16,2009-12-12,0910,1,0,FC Koln,Freiburg,0,0,0,FreiburgFC Koln
16,2009-12-12,0910,1,0,Ein Frankfurt,Hoffenheim,1,1,0,HoffenheimEin Frankfurt
16,2009-12-12,0910,0,0,Hannover,M'gladbach,5,3,0,M'gladbachHannover
16,2009-12-12,0910,3,1,Hamburg,Nurnberg,0,4,0,NurnbergHamburg
16,2009-12-12,0910,3,1,Schalke 04,Werder Bremen,0,2,0,Werder BremenSchalke 04
16,2009-12-13,0910,1,0,Stuttgart,Mainz,1,1,0,MainzStuttgart
16,2009-12-13,0910,3,1,Dortmund,Wolfsburg,1,3,0,WolfsburgDortmund
17,2009-12-18,0910,0,0,Mainz,Schalke 04,1,0,0,Schalke 04Mainz
17,2009-12-19,0910,0,0,Hertha,Bayern Munich,5,2,0,Bayern MunichHertha
17,2009-12-19,0910,0,0,Freiburg,Dortmund,1,0,0,DortmundFreiburg
17,2009-12-19,0910,1,0,Wolfsburg,Ein Frankfurt,2,2,0,Ein FrankfurtWolfsburg
17,2009-12-19,0910,3,1,Bochum,Hannover,2,3,0,HannoverBochum
17,2009-12-19,0910,0,0,M'gladbach,Leverkusen,3,2,0,LeverkusenM'gladbach
17,2009-12-19,0910,0,0,Hoffenheim,Stuttgart,3,1,0,StuttgartHoffenheim
17,2009-12-20,0910,0,0,Nurnberg,FC Koln,3,0,0,FC KolnNurnberg
17,2009-12-20,0910,0,0,Werder Bremen,Hamburg,2,1,0,HamburgWerder Bremen
18,2010-01-15,0910,0,0,Hoffenheim,Bayern Munich,2,0,0,Bayern MunichHoffenheim
18,2010-01-16,0910,0,0,Werder Bremen,Ein Frankfurt,1,0,0,Ein FrankfurtWerder Bremen
18,2010-01-16,0910,0,0,Freiburg,Hamburg,2,0,0,HamburgFreiburg
18,2010-01-16,0910,3,1,Hertha,Hannover,0,3,0,HannoverHertha
18,2010-01-16,0910,0,0,Mainz,Leverkusen,4,2,0,LeverkusenMainz
18,2010-01-16,0910,3,1,Bochum,M'gladbach,1,2,0,M'gladbachBochum
18,2010-01-16,0910,0,0,Wolfsburg,Stuttgart,3,1,0,StuttgartWolfsburg
18,2010-01-17,0910,3,1,Dortmund,FC Koln,2,3,0,FC KolnDortmund
18,2010-01-17,0910,0,0,Nurnberg,Schalke 04,1,0,0,Schalke 04Nurnberg
19,2010-01-22,0910,3,1,Stuttgart,Freiburg,0,1,0,FreiburgStuttgart
19,2010-01-23,0910,1,0,Schalke 04,Bochum,2,2,0,BochumSchalke 04
19,2010-01-23,0910,0,0,Hamburg,Dortmund,1,0,0,DortmundHamburg
19,2010-01-23,0910,1,0,M'gladbach,Hertha,0,0,0,HerthaM'gladbach
19,2010-01-23,0910,0,0,Hannover,Mainz,1,0,0,MainzHannover
19,2010-01-23,0910,1,0,Ein Frankfurt,Nurnberg,1,1,0,NurnbergEin Frankfurt
19,2010-01-23,0910,3,1,Bayern Munich,Werder Bremen,2,3,0,Werder BremenBayern Munich
19,2010-01-24,0910,3,1,Leverkusen,Hoffenheim,0,3,0,HoffenheimLeverkusen
19,2010-01-24,0910,3,1,FC Koln,Wolfsburg,2,3,0,WolfsburgFC Koln
20,2010-01-29,0910,1,0,Wolfsburg,Hamburg,1,1,0,HamburgWolfsburg
20,2010-01-30,0910,0,0,Mainz,Bayern Munich,3,0,0,Bayern MunichMainz
20,2010-01-30,0910,3,1,FC Koln,Ein Frankfurt,1,2,0,Ein FrankfurtFC Koln
20,2010-01-30,0910,3,1,Nurnberg,Hannover,1,3,0,HannoverNurnberg
20,2010-01-30,0910,1,0,Bochum,Hertha,0,0,0,HerthaBochum
20,2010-01-30,0910,0,0,Werder Bremen,M'gladbach,4,3,0,M'gladbachWerder Bremen
20,2010-01-30,0910,0,0,Hoffenheim,Schalke 04,2,0,0,Schalke 04Hoffenheim
20,2010-01-31,0910,0,0,Freiburg,Leverkusen,3,1,0,LeverkusenFreiburg
20,2010-01-31,0910,0,0,Dortmund,Stuttgart,4,1,0,StuttgartDortmund
21,2010-02-05,0910,0,0,Hertha,Werder Bremen,2,1,0,Werder BremenHertha
21,2010-02-06,0910,1,0,Leverkusen,Bochum,1,1,0,BochumLeverkusen
21,2010-02-06,0910,1,0,Hamburg,FC Koln,3,3,0,FC KolnHamburg
21,2010-02-06,0910,1,0,Schalke 04,Freiburg,0,0,0,FreiburgSchalke 04
21,2010-02-06,0910,0,0,Hannover,Hoffenheim,2,1,0,HoffenheimHannover
21,2010-02-06,0910,3,1,Stuttgart,Nurnberg,1,2,0,NurnbergStuttgart
21,2010-02-06,0910,3,1,Bayern Munich,Wolfsburg,1,3,0,WolfsburgBayern Munich
21,2010-02-07,0910,3,1,Ein Frankfurt,Dortmund,2,3,0,DortmundEin Frankfurt
21,2010-02-07,0910,0,0,M'gladbach,Mainz,1,0,0,MainzM'gladbach
22,2010-02-12,0910,0,0,Nurnberg,M'gladbach,2,1,0,M'gladbachNurnberg
22,2010-02-13,0910,0,0,Dortmund,Bayern Munich,3,1,0,Bayern MunichDortmund
22,2010-02-13,0910,0,0,Hoffenheim,Bochum,2,1,0,BochumHoffenheim
22,2010-02-13,0910,3,1,Werder Bremen,Hannover,1,5,0,HannoverWerder Bremen
22,2010-02-13,0910,1,0,Mainz,Hertha,1,1,0,HerthaMainz
22,2010-02-13,0910,0,0,Wolfsburg,Leverkusen,2,1,0,LeverkusenWolfsburg
22,2010-02-13,0910,3,1,Hamburg,Stuttgart,1,3,0,StuttgartHamburg
22,2010-02-14,0910,0,0,Freiburg,Ein Frankfurt,2,1,0,Ein FrankfurtFreiburg
22,2010-02-14,0910,0,0,FC Koln,Schalke 04,2,0,0,Schalke 04FC Koln
23,2010-02-19,0910,1,0,M'gladbach,Hoffenheim,2,2,0,HoffenheimM'gladbach
23,2010-02-20,0910,0,0,Hannover,Dortmund,4,1,0,DortmundHannover
23,2010-02-20,0910,3,1,Stuttgart,FC Koln,1,5,0,FC KolnStuttgart
23,2010-02-20,0910,1,0,Ein Frankfurt,Hamburg,0,0,0,HamburgEin Frankfurt
23,2010-02-20,0910,1,0,Bochum,Mainz,0,0,0,MainzBochum
23,2010-02-20,0910,1,0,Bayern Munich,Nurnberg,1,1,0,NurnbergBayern Munich
23,2010-02-21,0910,3,1,Hertha,Freiburg,0,3,0,FreiburgHertha
23,2010-02-21,0910,1,0,Leverkusen,Werder Bremen,2,2,0,Werder BremenLeverkusen
23,2010-02-21,0910,0,0,Schalke 04,Wolfsburg,2,1,0,WolfsburgSchalke 04
24,2010-02-26,0910,0,0,Dortmund,Schalke 04,2,1,0,Schalke 04Dortmund
24,2010-02-27,0910,1,0,Nurnberg,Bochum,0,0,0,BochumNurnberg
24,2010-02-27,0910,3,1,Hoffenheim,Hertha,0,2,0,HerthaHoffenheim
24,2010-02-27,0910,1,0,FC Koln,Leverkusen,0,0,0,LeverkusenFC Koln
24,2010-02-27,0910,1,0,Freiburg,M'gladbach,1,1,0,M'gladbachFreiburg
24,2010-02-27,0910,3,1,Werder Bremen,Mainz,1,2,0,MainzWerder Bremen
24,2010-02-27,0910,0,0,Ein Frankfurt,Stuttgart,2,1,0,StuttgartEin Frankfurt
24,2010-02-28,0910,0,0,Hamburg,Bayern Munich,1,0,0,Bayern MunichHamburg
24,2010-02-28,0910,3,1,Wolfsburg,Hannover,0,1,0,HannoverWolfsburg
25,2010-03-06,0910,0,0,M'gladbach,Dortmund,3,0,0,DortmundM'gladbach
25,2010-03-06,0910,3,1,Schalke 04,Ein Frankfurt,1,4,0,Ein FrankfurtSchalke 04
25,2010-03-06,0910,1,0,Bayern Munich,FC Koln,1,1,0,FC KolnBayern Munich
25,2010-03-06,0910,3,1,Hannover,Freiburg,1,2,0,FreiburgHannover
25,2010-03-06,0910,0,0,Hertha,Hamburg,1,0,0,HamburgHertha
25,2010-03-06,0910,1,0,Stuttgart,Werder Bremen,2,2,0,Werder BremenStuttgart
25,2010-03-06,0910,0,0,Bochum,Wolfsburg,4,1,0,WolfsburgBochum
25,2010-03-07,0910,3,1,Mainz,Hoffenheim,0,1,0,HoffenheimMainz
25,2010-03-07,0910,0,0,Leverkusen,Nurnberg,3,2,0,NurnbergLeverkusen
26,2010-03-12,0910,0,0,Stuttgart,Schalke 04,2,1,0,Schalke 04Stuttgart
26,2010-03-13,0910,0,0,Freiburg,Bayern Munich,2,1,0,Bayern MunichFreiburg
26,2010-03-13,0910,3,1,Dortmund,Bochum,1,4,0,BochumDortmund
26,2010-03-13,0910,0,0,Ein Frankfurt,Hannover,2,1,0,HannoverEin Frankfurt
26,2010-03-13,0910,3,1,Nurnberg,Hertha,1,2,0,HerthaNurnberg
26,2010-03-13,0910,3,1,Wolfsburg,M'gladbach,0,4,0,M'gladbachWolfsburg
26,2010-03-13,0910,0,0,FC Koln,Mainz,1,0,0,MainzFC Koln
26,2010-03-14,0910,3,1,Werder Bremen,Hoffenheim,0,1,0,HoffenheimWerder Bremen
26,2010-03-14,0910,0,0,Hamburg,Leverkusen,4,2,0,LeverkusenHamburg
27,2010-03-19,0910,1,0,M'gladbach,FC Koln,1,1,0,FC KolnM'gladbach
27,2010-03-20,0910,0,0,Leverkusen,Dortmund,3,0,0,DortmundLeverkusen
27,2010-03-20,0910,0,0,Bayern Munich,Ein Frankfurt,2,1,0,Ein FrankfurtBayern Munich
27,2010-03-20,0910,0,0,Mainz,Freiburg,1,0,0,FreiburgMainz
27,2010-03-20,0910,1,0,Hoffenheim,Nurnberg,0,0,0,NurnbergHoffenheim
27,2010-03-20,0910,0,0,Hannover,Stuttgart,2,0,0,StuttgartHannover
27,2010-03-20,0910,0,0,Bochum,Werder Bremen,3,2,0,Werder BremenBochum
27,2010-03-21,0910,1,0,Schalke 04,Hamburg,2,2,0,HamburgSchalke 04
27,2010-03-21,0910,3,1,Hertha,Wolfsburg,1,5,0,WolfsburgHertha
28,2010-03-26,0910,3,1,Ein Frankfurt,Bochum,1,2,0,BochumEin Frankfurt
28,2010-03-27,0910,3,1,Stuttgart,Bayern Munich,1,2,0,Bayern MunichStuttgart
28,2010-03-27,0910,3,1,FC Koln,Hannover,1,4,0,HannoverFC Koln
28,2010-03-27,0910,1,0,Dortmund,Hertha,0,0,0,HerthaDortmund
28,2010-03-27,0910,3,1,Schalke 04,Leverkusen,0,2,0,LeverkusenSchalke 04
28,2010-03-27,0910,3,1,Wolfsburg,Mainz,0,2,0,MainzWolfsburg
28,2010-03-27,0910,0,0,Nurnberg,Werder Bremen,4,2,0,Werder BremenNurnberg
28,2010-03-28,0910,1,0,Freiburg,Hoffenheim,1,1,0,HoffenheimFreiburg
28,2010-03-28,0910,0,0,Hamburg,M'gladbach,1,0,0,M'gladbachHamburg
29,2010-04-03,0910,0,0,Werder Bremen,Dortmund,2,1,0,DortmundWerder Bremen
29,2010-04-03,0910,0,0,Leverkusen,Ein Frankfurt,3,2,0,Ein FrankfurtLeverkusen
29,2010-04-03,0910,3,1,Hertha,FC Koln,0,3,0,FC KolnHertha
29,2010-04-03,0910,1,0,Bochum,Freiburg,1,1,0,FreiburgBochum
29,2010-04-03,0910,0,0,Mainz,Nurnberg,2,0,0,NurnbergMainz
29,2010-04-03,0910,3,1,Bayern Munich,Schalke 04,1,2,0,Schalke 04Bayern Munich
29,2010-04-03,0910,0,0,M'gladbach,Stuttgart,2,1,0,StuttgartM'gladbach
29,2010-04-04,0910,1,0,Hannover,Hamburg,0,0,0,HamburgHannover
29,2010-04-04,0910,0,0,Hoffenheim,Wolfsburg,4,0,0,WolfsburgHoffenheim
30,2010-04-09,0910,0,0,Ein Frankfurt,M'gladbach,2,0,0,M'gladbachEin Frankfurt
30,2010-04-10,0910,0,0,Schalke 04,Hannover,4,2,0,HannoverSchalke 04
30,2010-04-10,0910,3,1,Stuttgart,Hertha,0,1,0,HerthaStuttgart
30,2010-04-10,0910,3,1,FC Koln,Hoffenheim,0,2,0,HoffenheimFC Koln
30,2010-04-10,0910,1,0,Bayern Munich,Leverkusen,1,1,0,LeverkusenBayern Munich
30,2010-04-10,0910,0,0,Dortmund,Mainz,1,0,0,MainzDortmund
30,2010-04-10,0910,0,0,Freiburg,Werder Bremen,4,0,0,Werder BremenFreiburg
30,2010-04-11,0910,3,1,Hamburg,Bochum,1,2,0,BochumHamburg
30,2010-04-11,0910,3,1,Wolfsburg,Nurnberg,0,2,0,NurnbergWolfsburg
31,2010-04-16,0910,0,0,Bochum,FC Koln,2,0,0,FC KolnBochum
31,2010-04-17,0910,0,0,Hannover,Bayern Munich,7,0,0,Bayern MunichHannover
31,2010-04-17,0910,0,0,Nurnberg,Freiburg,2,1,0,FreiburgNurnberg
31,2010-04-17,0910,3,1,Mainz,Hamburg,0,1,0,HamburgMainz
31,2010-04-17,0910,0,0,M'gladbach,Schalke 04,3,1,0,Schalke 04M'gladbach
31,2010-04-17,0910,0,0,Leverkusen,Stuttgart,2,1,0,StuttgartLeverkusen
31,2010-04-17,0910,3,1,Werder Bremen,Wolfsburg,2,4,0,WolfsburgWerder Bremen
31,2010-04-18,0910,1,0,Hoffenheim,Dortmund,1,1,0,DortmundHoffenheim
31,2010-04-18,0910,1,0,Hertha,Ein Frankfurt,2,2,0,Ein FrankfurtHertha
32,2010-04-23,0910,3,1,Stuttgart,Bochum,0,2,0,BochumStuttgart
32,2010-04-24,0910,3,1,Schalke 04,Hertha,0,1,0,HerthaSchalke 04
32,2010-04-24,0910,0,0,Hannover,Leverkusen,3,0,0,LeverkusenHannover
32,2010-04-24,0910,1,0,Bayern Munich,M'gladbach,1,1,0,M'gladbachBayern Munich
32,2010-04-24,0910,1,0,Ein Frankfurt,Mainz,3,3,0,MainzEin Frankfurt
32,2010-04-24,0910,3,1,Dortmund,Nurnberg,2,3,0,NurnbergDortmund
32,2010-04-24,0910,0,0,FC Koln,Werder Bremen,1,0,0,Werder BremenFC Koln
32,2010-04-25,0910,0,0,Wolfsburg,Freiburg,1,0,0,FreiburgWolfsburg
32,2010-04-25,0910,0,0,Hamburg,Hoffenheim,5,1,0,HoffenheimHamburg
33,2010-05-01,0910,0,0,Bochum,Bayern Munich,3,1,0,Bayern MunichBochum
33,2010-05-01,0910,1,0,Wolfsburg,Dortmund,1,1,0,DortmundWolfsburg
33,2010-05-01,0910,3,1,Hoffenheim,Ein Frankfurt,1,2,0,Ein FrankfurtHoffenheim
33,2010-05-01,0910,1,0,Freiburg,FC Koln,2,2,0,FC KolnFreiburg
33,2010-05-01,0910,0,0,Nurnberg,Hamburg,4,0,0,HamburgNurnberg
33,2010-05-01,0910,0,0,M'gladbach,Hannover,6,1,0,HannoverM'gladbach
33,2010-05-01,0910,1,0,Hertha,Leverkusen,1,1,0,LeverkusenHertha
33,2010-05-01,0910,3,1,Werder Bremen,Schalke 04,0,2,0,Schalke 04Werder Bremen
33,2010-05-01,0910,1,0,Mainz,Stuttgart,2,2,0,StuttgartMainz
34,2010-05-08,0910,3,1,Hannover,Bochum,0,3,0,BochumHannover
